05:09:31.278 Serial                    [004] SendMessage Nr0017 < Released lock
05:09:31.278 Scope                     [004] Action < result: 061619
05:09:32.268 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:32.268 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:32.268 Serial                    [004] SendMessage Nr0018 > (:GX#,#) - awaiting lock
05:09:32.268 Serial                    [004] SendMessage Nr0018 - acquired lock
05:09:32.268 Serial                    [004] SendMessage Nr0018 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:32.298 Serial                    [004] SendMessage Nr0018 - Reply: Tracking,--T---,-207,0,16081,061103,+900000,,
05:09:32.298 Serial                    [004] SendMessage Nr0018 - Releasing lock
05:09:32.298 Serial                    [004] SendMessage Nr0018 < Released lock
05:09:32.298 Scope                     [004] Action < result: Tracking,--T---,-207,0,16081,061103,+900000,,
05:09:32.298 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:32.298 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:32.298 Serial                    [004] SendMessage Nr0019 > (:XGL#,#) - awaiting lock
05:09:32.298 Serial                    [004] SendMessage Nr0019 - acquired lock
05:09:32.298 Serial                    [004] SendMessage Nr0019 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:32.307 Serial                    [004] SendMessage Nr0019 - Reply: 061620
05:09:32.307 Serial                    [004] SendMessage Nr0019 - Releasing lock
05:09:32.307 Serial                    [004] SendMessage Nr0019 < Released lock
05:09:32.307 Scope                     [004] Action < result: 061620
05:09:33.300 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:33.300 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:33.300 Serial                    [004] SendMessage Nr0020 > (:GX#,#) - awaiting lock
05:09:33.300 Serial                    [004] SendMessage Nr0020 - acquired lock
05:09:33.300 Serial                    [004] SendMessage Nr0020 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:33.330 Serial                    [004] SendMessage Nr0020 - Reply: Tracking,--T---,-207,0,16125,061103,+900000,,
05:09:33.330 Serial                    [004] SendMessage Nr0020 - Releasing lock
05:09:33.330 Serial                    [004] SendMessage Nr0020 < Released lock
05:09:33.330 Scope                     [004] Action < result: Tracking,--T---,-207,0,16125,061103,+900000,,
05:09:33.330 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:33.330 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:33.330 Serial                    [004] SendMessage Nr0021 > (:XGL#,#) - awaiting lock
05:09:33.330 Serial                    [004] SendMessage Nr0021 - acquired lock
05:09:33.330 Serial                    [004] SendMessage Nr0021 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:33.340 Serial                    [004] SendMessage Nr0021 - Reply: 061621
05:09:33.340 Serial                    [004] SendMessage Nr0021 - Releasing lock
05:09:33.340 Serial                    [004] SendMessage Nr0021 < Released lock
05:09:33.340 Scope                     [004] Action < result: 061621
05:09:34.330 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:34.330 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:34.330 Serial                    [004] SendMessage Nr0022 > (:GX#,#) - awaiting lock
05:09:34.330 Serial                    [004] SendMessage Nr0022 - acquired lock
05:09:34.330 Serial                    [004] SendMessage Nr0022 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:34.361 Serial                    [004] SendMessage Nr0022 - Reply: Tracking,--T---,-207,0,16168,061103,+900000,,
05:09:34.361 Serial                    [004] SendMessage Nr0022 - Releasing lock
05:09:34.361 Serial                    [004] SendMessage Nr0022 < Released lock
05:09:34.361 Scope                     [004] Action < result: Tracking,--T---,-207,0,16168,061103,+900000,,
05:09:34.361 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:34.361 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:34.361 Serial                    [004] SendMessage Nr0023 > (:XGL#,#) - awaiting lock
05:09:34.361 Serial                    [004] SendMessage Nr0023 - acquired lock
05:09:34.361 Serial                    [004] SendMessage Nr0023 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:34.370 Serial                    [004] SendMessage Nr0023 - Reply: 061622
05:09:34.370 Serial                    [004] SendMessage Nr0023 - Releasing lock
05:09:34.370 Serial                    [004] SendMessage Nr0023 < Released lock
05:09:34.370 Scope                     [004] Action < result: 061622
05:09:35.362 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:35.362 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:35.362 Serial                    [004] SendMessage Nr0024 > (:GX#,#) - awaiting lock
05:09:35.362 Serial                    [004] SendMessage Nr0024 - acquired lock
05:09:35.362 Serial                    [004] SendMessage Nr0024 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:35.392 Serial                    [004] SendMessage Nr0024 - Reply: Tracking,--T---,-207,0,16211,061103,+900000,,
05:09:35.392 Serial                    [004] SendMessage Nr0024 - Releasing lock
05:09:35.392 Serial                    [004] SendMessage Nr0024 < Released lock
05:09:35.392 Scope                     [004] Action < result: Tracking,--T---,-207,0,16211,061103,+900000,,
05:09:35.392 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:35.392 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:35.392 Serial                    [004] SendMessage Nr0025 > (:XGL#,#) - awaiting lock
05:09:35.392 Serial                    [004] SendMessage Nr0025 - acquired lock
05:09:35.392 Serial                    [004] SendMessage Nr0025 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:35.401 Serial                    [004] SendMessage Nr0025 - Reply: 061623
05:09:35.401 Serial                    [004] SendMessage Nr0025 - Releasing lock
05:09:35.401 Serial                    [004] SendMessage Nr0025 < Released lock
05:09:35.401 Scope                     [004] Action < result: 061623
05:09:36.401 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:36.401 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:36.401 Serial                    [004] SendMessage Nr0026 > (:GX#,#) - awaiting lock
05:09:36.401 Serial                    [004] SendMessage Nr0026 - acquired lock
05:09:36.401 Serial                    [004] SendMessage Nr0026 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:36.432 Serial                    [004] SendMessage Nr0026 - Reply: Tracking,--T---,-207,0,16255,061103,+900000,,
05:09:36.432 Serial                    [004] SendMessage Nr0026 - Releasing lock
05:09:36.432 Serial                    [004] SendMessage Nr0026 < Released lock
05:09:36.432 Scope                     [004] Action < result: Tracking,--T---,-207,0,16255,061103,+900000,,
05:09:36.432 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:36.432 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:36.432 Serial                    [004] SendMessage Nr0027 > (:XGL#,#) - awaiting lock
05:09:36.432 Serial                    [004] SendMessage Nr0027 - acquired lock
05:09:36.432 Serial                    [004] SendMessage Nr0027 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:36.441 Serial                    [004] SendMessage Nr0027 - Reply: 061624
05:09:36.441 Serial                    [004] SendMessage Nr0027 - Releasing lock
05:09:36.441 Serial                    [004] SendMessage Nr0027 < Released lock
05:09:36.441 Scope                     [004] Action < result: 061624
05:09:37.439 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:37.439 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:37.439 Serial                    [004] SendMessage Nr0028 > (:GX#,#) - awaiting lock
05:09:37.439 Serial                    [004] SendMessage Nr0028 - acquired lock
05:09:37.439 Serial                    [004] SendMessage Nr0028 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:37.469 Serial                    [004] SendMessage Nr0028 - Reply: Tracking,--T---,-207,0,16299,061103,+900000,,
05:09:37.469 Serial                    [004] SendMessage Nr0028 - Releasing lock
05:09:37.469 Serial                    [004] SendMessage Nr0028 < Released lock
05:09:37.469 Scope                     [004] Action < result: Tracking,--T---,-207,0,16299,061103,+900000,,
05:09:37.469 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:37.470 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:37.470 Serial                    [004] SendMessage Nr0029 > (:XGL#,#) - awaiting lock
05:09:37.470 Serial                    [004] SendMessage Nr0029 - acquired lock
05:09:37.470 Serial                    [004] SendMessage Nr0029 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:37.479 Serial                    [004] SendMessage Nr0029 - Reply: 061626
05:09:37.479 Serial                    [004] SendMessage Nr0029 - Releasing lock
05:09:37.479 Serial                    [004] SendMessage Nr0029 < Released lock
05:09:37.479 Scope                     [004] Action < result: 061626
05:09:38.471 Scope                     [004] SupportedActions Get => 3 item(s)
